Note,Comment,Class
3.5,"Quelques-unes de mes critiques de Potter ont disparues, on va refaire donc.Cet épisode j’avais bien aimé, pas juste parce que Gary Oldman est dedans car on le voit peu, mais surtout pour le côté « je remonte le temps pour réparer les erreurs » sans en faire. Souvent les histoires traitant de modification de la trame historique contiennent des approximations, des fautes, des décalages, des oublis, sauf là. L’histoire est bien trouvée donc, coupler ça avec un fugitif proche des parents de Potter et un twist renversant est encore mieux. De plus, cet opus marque un tournant. Davantage sombre visuellement déjà, on y aborde plus en détails les parents d’Harry ainsi que le passé des sorciers avec Voldemort, mais surtout on intègre petit à petit des personnages qui vont avoir des rôles primordiaux par la suite (Queudver surtout). A noter également : c’est le seul épisode où on ne voit pas « Celui dont on ne doit pas prononcer le nom » ou une de ses incarnations. Enfin la carte du maraudeur est géniale, et pas que pour les 2 élèves remarqués dans le générique de fin.Je regrette cependant que beaucoup de scènes se déroulent la nuit ou dans l’obscurité. Le côté sombre est utile mais semble cacher des FX un peu passés et/ou mauvais (avec Patmol c’est flagrant). D’ailleurs le loup garou est un des plus moches qu’il m’ait été donné de voir, dommage vu le mythe que c’est de le casser ainsi, surtout qu’hormis son aspect il est ridicule aussi. A côté de ça les détraqueurs sont top, même si on n’exploite pas leur look « mort personnifiée » et que leurs pouvoirs ne donnent pas bien à l’image. La trame est attendue dans sa globalité mais on a une construction qui change au moins (sauf pour les aficionados des histoires temporelles). Le montage est clair car on se perd vite dans ce genre de récit, musiques et dialogues sont toujours bons et raccords avec la saga, les acteurs semblent moins inspirés qu’avant mais ça reste potable, quelques longueurs et un rythme forcément irrégulier mais qui se tient.Au final, une aventure à part dans la saga Potter puisqu’on y découvre un peu sa vraie famille et qu’on n’a pas de Voldemort. L’atmosphère évolue, les persos aussi, c’est plus sombre et adulte. C’est moins centré sur Potter que sur l’aventure que le monde de sorciers va vivre, ainsi que ses conséquences. Y rajouter le thème de voyage temporel pour réparer les erreurs est top. Néanmoins, le film souffre de trop d’erreurs, d’approximations, peut-être d’un relâchement des acteurs et de l’équipe de production aussi, puis ça zappe pas mal de passages du livre pour devenir vraiment top.",mid
3.5,"Oui je vous entends déjà crier ""Houuuuuuu"", eh oui, mon avis sera impopulaire, mais je ne suis pas là pour me faire envoyer des lettres d'amour 藍.Nouveau réalisateur, ce qui apporte une touche de fraîcheur à la saga. Michael Gambon rejoint le casting et reprend le rôle du regretté Richard Harris sous les traits d'Albus Dumbledore. De nouveaux personnages intéressants font leur apparition. Le scénario est très intéressant puisque le trio va courir après le temps, Hermione va s'affirmer davantage et je dois avouer adorer la scène mémorable où elle cogne un certain blondinet . Encore une sublime bande originale signée John Williams. Donc oui les grincheux, j'aime ce film, mais ce n'est pas mon préféré. Ok, je vais utiliser le transplanage avant que vous ne m'attaquiez avec vos baguettes magiques en chocolat 藍⚡",mid
3.0,"Alors là c'est le choc ! La grosse déception... je me faisais une joie de retrouver Harry et tous ses amis dans un volet au titre plus qu'alléchant mais là ce fut la désillusion ! J'ai trouvé le début étrange, presque comique et loufoque et je n'ai pas adhéré, puis l'histoire se met en place et j'ai réussi à me mettre dedans (et j'ai été envoûté par l'hippogriffe au passage) mais que dire de la fin ? Brouillonne, décevante et sans queue ni tête et honnêtement c'est la douche froide ! Moi qui me faisais une joie de voir les 7 volets... je me retrouve à paniquer à l'idée que tous les prochains épisodes soient de cet acabit là !! Gloups... La magie retombe !",mid
3.5,"Changement de réalisateur pour ce troisième volet des aventures de Harry Potter, et pas des moindres, puisqu'il s'agit là d'Alfonso Cuarón. Nos petits héros ont déjà bien grandi, les enfants laissent places aux adolescents, et c'est aussi cette évolution quant aux personnages qui offrira un sacré charme à cette saga, le public ayant l'impression d'évoluer au côté de ces apprentis magiciens. Visuellement toujours aussi propre, mais cette fois un peu plus sombre, Alfonso Cuarón livre ici un beau travail de mise en scène, parfaitement fidèle à l'univers de Harry Potter, tout en marquant un début de rupture dans cette franchise souhaitant évoluer vers quelque chose de plus obscur. C'est donc un épisode clé de la saga, mais également marquant. En effet, c'est ici que l'univers Harry Potter prend de l'ampleur, même si certains ressentiront un aspect fourre-tout entre les transformations multiples, la présence de bêtes féroces, la condition du professeur ou encore le retour dans le passé, cet épisode concentré autour de cette enquête sur le cas Sirius Black, viendra avant-tout enrichir la saga tout en entamant une direction plus ""dark"" de la franchise par la suite.",mid
3.5,"Nouveau réalisateur et virage vers une ambiance plus sombre. Certains changement sont de bonne augure, quelques mouvements de caméra sont habiles et les enfants sont physiquement au mieux de la saga (l'adolescence ne réussira pas trop aux 2 garçons).Le jeu d'acteur devient plus mûr (sauf Ron, rien à faire...). Par contre l'histoire est non seulement confuse mais se prend les pieds dans le tapis sur la cohérence temporelle (Harry sait ce qui va se passer et pourtant il est surpris à chaque action d'Hermione...).Il y a également un peu de lassitude à voir que chaque nouveau professeur est au coeur de chaque dénouement.",mid
3.0,"Dans ce troisième opus , l'ambiance plus noire donne une teinte plus adulte à cet épisode de la saga. Les élèves grandissent et les enjeux dramatiques se font plus pressants.La musique de John Williams va dans ce sens : plus noire.Le film peut compter sur Gary Oldman pour une interprétation de premier ordre en tant que prisonnier d'Azkaban. Toujours plaisant de voir cet acteur de renom exercer son art.La patte Harry Potter reste présente avec ses codes et son langage, mais avec Azkaban, la saga prend un ton plus adulte et moins féerique.Original, le film est agréable et offre quelques rebondissements vers la fin tout à fait appréciables.La mise en scène offre quelques moment intéressants comme l'apparition des créatures vêtues de noir : ambiance glaçante réussie.",mid
3.5,"Après avoir laissé Chris Columbus mettre la magie en place, c'est Alfonso Cuaron qui s'attelle à la réalisation de ce troisième film des aventures d'Harry Potter. Sous sa direction, l'univers du sorcier à la cicatrice en forme d'éclair s'assombrit et devient un peu plus mature. Les héros ne sont plus des gamins et deviennent adolescents, quittant alors leurs robes de sorcier pour des vêtements plus décontractés. Plus noir et plus onirique que les opus précédents, ce ""Prisonnier d'Azkaban"" doit beaucoup à la qualité de ses seconds rôles, que ce soit David Thewlis en professeur loup-garou ou Gary Oldman en évadé d'Azkaban, méconnaissable. Ces acteurs donnent de la profondeur au film et à une histoire finalement assez plate qui se démarquera surtout dans sa dernière partie, franchement superbe. C'est en somme une adaptation assez fidèle que l'on remarquera aussi pour son humour et pour la qualité de sa réalisation, l'une des meilleures de toute la saga.",mid
3.5,"Troisième année. Les élèves grandissent (ça se voit) et le film devient lui aussi plus adulte. C'est la première bonne nouvelle de ce troisième épisode, celle de nous proposer une version moins puérile et beaucoup plus sombre. L'autre (très) bonne nouvelle, celle la plus excitante à mes yeux: A. Cuarón. Le choix du réalisateur est particulièrement audacieuse. L'homme, qui. n'a pas encore réalisé ""Le Fils de l'Homme"" ou ""Gravity"" apporte indéniablement un ton moins enfantin, un style plus gothique, et surtout un bijou de réalisation, entre travellings en plan large où le contre-champs est particulièrement soigné et des effets spéciaux qui montent enfin en gamme et servent (enfin) le récit. Du coup, alors que C.Columbus n'avait pas démérité en mettant en scène un univers foisonnant mais peinait à surprendre avec le deuxième épisode, le cinéaste mexicain apporte un oeil nouveau sur la saga, et permet au spectateur un peu perdu par le second opus de lui raviver les pupilles. Certes, Harry Potter reste Harry Potter, tout est toujours centré sur lui, et l'univers fantastique permet de résoudre des problèmes de scénario grâce à une baguette trop facilement magique. Mais ce ""Prisonnier d'Azkaban"" est une réussite artistique, particulièrement dans le talent de A.Cuarón de s'approprier les codes et les contraintes d'un bouquin tout y apportant sa patte bien à lui. Rien que pour cela, ce film vaut le détour.",mid
3.5,"On est émerveillé par le nombre incroyable de plans avec des effets spéciaux. On rêve en voyant ce film. J'ai trouvé néanmoins qu'il y avait un peu moins de rythme dans ce 3ème épisode que dans le 1er mais ce n'est pas préjudiciable au film tant on passe un bon moment à suivre Harry Potter dans ses nouvelles aventures. Il parait que l'adaptation du livre a donné lieu à de nombreuses coupes mais je ne m'en plains pas car je n'ai pas lu le livre (ce qui m'évitera ce genre de comparaison rarement à l'avantage du film) et je préfère les films relativement courts : je trouve donc que 2h20 pour celui-ci est une durée déjà plus que raisonnable. Un film qui est vraiment tout public et qui, en rassemblant petits et grands, n'en devient pas niais pour les adultes (par opposition à ce que j'ai ressenti, par moments, en voyant ""Spiderman 2""). Donc, un film à voir et à revoir pour retrouver un peu son âme d'enfant et pour rêver ...",mid
3.5,"On sent la différence avec les deux volets précédents ! Devant la caméra de Cuaron, l’univers d’Harry Potter devient un véritable terrain de jeu, à la fois beaucoup plus sombre (voire gothique) et plus ludique (la mise en scène est d’un dynamisme et d’une inventivité permanents). Passée la première heure et demie, malheureusement, c’est un peu plus convenu, la faute à un récit qui, comme dans les films/livres précédents, démarre sur les chapeaux de roues (l’introduction londonienne, l’arrivée à l’ecole, les premiers cours, la menace qui gronde) puis se perd en révélations et deus ex machina un peu pénibles, pendant que les professeurs n’ont plus d’autre fonction que de pousser leurs élèves dans les bras du danger. Heureusement, la jolie parenthèse du voyage dans le temps renouvelle un peu les poncifs du climax habituel. En tout cas, pour la vraisemblance du scénario, on repassera, mais niveau réalisation, on n’a pas fait mieux dans le genre.",mid
