cleaned_comment,class
premier éloigné transition suite sombre commencer voir là.déjà physiquement acteur jeune premier style 3 poursuivre jusqu’ fin coup commencer faire mature ginny arriver monde sorcier pourtant attarder guèr saga acteur continuer progression gamin départ bien dégrossi arrivent doby lucius lockhart ensuite style columbus évoluer histoire obscur bizarrement voldemort présent forme humain horcruxe histoire bien trouver toutefois annonce grand trame venir prolonger jusqu’ fin volontaire part auteur cohésion bon rajouter atout supplémentaire épisode.niveau musiqu thème connu reprendre nouveau mélodie ajouter insérer bien fx progression montage clair dialogue sobre humour monde enfantin demeurer niveau décor costume veine premier top rythme tenir longueur coup difficile dissocier suite prédécesseur semblable bien point proche niveau qualitatif mettre note histoire avance devenir intéressant élément insérer prendre importanc suite héros complexifier bref saga lancer voir opus cler somme,mid
suite donne impression ronronner contenter capitaliser épisode histoire donne impression décousu apporter finalement grand chose univers vraiment mal personnage elfe maison golum réussir point vue technique ailleurs point commun film seigneur anneau confirmer cherche effet paraître rater j mal rupert grint vraiment enfant joue comédie point vue global sympa loin intéressant,mid
opus ensemble efficace 2h30 commencer véritablement faire ressentir retrouver plaisir chri columbu commande jeune héros herbe mise place amusant surprenant rapidement personnage principal mignon école sorcier devenir agaçant réaction mimique script finir irriter intrigue nouveau fois laisse temps mourir présent rendre ensemble beaucoup palpiter opus découvrir nouveau personnage scénario vouloir malin accoutumée revanche véritable enjeu mettre place conférer partie saga aspect transitoire ambiance sombre perdre magie efficacité final nouveau fois haleter ensemble bon loin niveau suite avérer meilleur souvenir,mid
film harry potter année école magie sorcellerie poudlard force mystérieux menacer école aide ami ron hermione harry résoudre mystère chambre secret affronter danger cache intérieur.dan ensemble beaucoup apprécier harry potter chambre secret film visuellemer époustoufler offrir plongée captivant univers magique poudlard acteur principal excellent offrir performance solide convaincantes.l' point fort film aucun doute direction artistique décor costume magnifique créer monde fantastique convaincant cohérer effet spécial impressionnant aider donner vie créature magique araignée géant basilic.l' intrigu film bien construire offrir histoire complexe passionnant fidèle histoire original personnage secondaire dobby elfe maison gilderoy lockhart bien écrire ajoutent humour tension intrigue.cependant film parfaire durée sembler long téléspectateur familier univers harry potter scène sembler trop dramatique exagérer goûts.en fin compte harry potter chambre secret excellent film offrir immersion captivant univers magique poudlard direction artistique impressionnant performance solide intrigue bien construire film incontournable fan série harry potter amateur film fantastique général,mid
second volet gros budget jeune sorcier imaginer romancier anglais connaître succès fulgurant salle niveau qualité prendre allure prétentieux héros jeune ados musique john williams offrir riche thème envoûtant personnage être poser opus réalisateur restituer richesse fantaisie livre imposer rythme soutenir sombre récit haletant cesser rebondir spectateur jusque bout sombrer facilité aide séquence majeur armée araignée géant mettre valeur bon fx épisode plaire,mid
second volet aventure célèbre apprenti sorcier lunette riche rebondissement scène dantesque part bel nouveau tête instar dobby toutefois plaisir atténuer face trop scène pénombre jeu acteur exagérer rupert grint incarner ron trouver faire trop fois expression facial clairement bon interprèt trio jeune sorcier toutefois éprouver autant satisfaction visionnage bien divertissant constituer programme idéal samedi soir famille,mid
columbus rempil honnête divertissement enfant fidèle esprit longuet 2h40 action intrigu bien ficeler découvrir nouveau personnage fameu dobby équivaloir gollum ambiance sombre harry commence entrevoir coté obscur danger heureusement compter ami deu ex machiner beaucoup sortir mauvais mal,mid
suite tirer partie erreur bien mieux réussir sombre bien enfantin plein d idée truculent personnage haut couleur action bien mener biz rythmé plein surprise bien doser rester connecter longueur 2 heure 40 facile petit relation personnage enrichir découverte univers intéressant riche fantastique joli musique fois plus.en somme bon suite,mid
film niveau baisse effet spécial aboutir elfe maison -qui commence ailleurs yoda- voiture volant histoire passionnant personnage ajouter raison jeune casting globalement progresser ron expression artificiel réaction malheureusement harry emprunté poids succès premier adolescence appliquer rester marque,mid
film harry grandi perdre innocence volet magie noir présent déceler part ombre mystérieux célèbre apprenti sorcier vraiment note découverte émerveillement ici pointe drame suspense intrigu principal omniprésent esprit avancement année univers magique enrichir passage ron être intéressant consacrer légèrement temps école fois film varier 3h lieu 2h30 être luxe côté casting prendre recommence poste change professeur contre force mal britannique kenneth branagh célèbre hercule poirot crime orient express jouer gilderoy lockhart vraiment accrocher prestation décaler rapport ambiance film harry potter chambre secret évoluer registre saga bon niveau qualité,mid
chambre secret film saga réaliser chri columbu aspect meilleur précédent intrigu forme enquête policier enjeu important premier volet acteur mieux thématique légèreoe t mature humour réussir univers fantastique largement étoffé côté enfantin cucul niais film offrir transition adolescence héros traiter excellent troisième épisode saga,mid
bien scène voiture volant voir fort fond vert film sublime bel photographie scénario excellent fois enjeu grand volet harry menacer poudlard scène quidditch cognard excellent dernier acte chambre secret sublime créature bien faite aragog basilic dobby attachant jason isaac alan rickman acteur voldemort jeune performance retenir film,mid
épisode précédent 2è opus fidèle livre rowling harry potter 2è année poudlard premier démarr aventure famille adoptif harry dursley effet spécial bien mener voiture volant saule cogneur partie foret transformation 2 héros crabb goyleun gros regret sujet monstre final fameu basilic trouver vraiment médiocre guère impressionnant dire décor année 80 histoire finpour personnage 3 héros connaissance lucius malefoy bien jouer jason isaac the patriot parfaire rôle mécher vénéneux excellent lockhart kenneth branagh retranscrire parfaitement personnage livre)le combat final intéressant tome 1,mid
second opus dernier mise scène chri columbu dernier coller roman distiller message j.k rowling destination enfant application génie délester présentation personnage lieu enjeu plomber opus lancer rapidement intrigu réduire maximum round observation avantage majeur film poussif moment rythmer dynamique précédent sombre enfantin image palette chromatique terne jaunâtre verdâtre petit héros grandir prendre risque çà apporte piquant séquence polynectare clou nouveau personnage apparaître apporter souffle kenneth brannagh virtuos prof starlette doby elf maison attacher lucius malfoy côté maléfique bien sage magique.tout-un-cinema.blogspot.com,mid
année élève bizut spectateur surprise fort ici trouvaille visuel personnage être exploiter c.columbu reprendre franchise laisser excellent travail reconstitution magnifique identique opus précédent problème épisode savoir renouveler apporter nouveauté surprise souci chambre secret content cabotin beaucoup intriguer vraiment omniprésence personnage harry potter nuire intrigue riche personnage secondaire hyper-centralisation fatigante long bout 2h30 film passer ensemble techniquement correct souffrir préférer jeune harry potter secret éblouir chambre secret malheureusement avare voir suite,mid
"découvrir univers harry potter jour visionner opus dvd partie fan heure aventure cinématographique lecteur assidu aventure être charmer univers fantastique personnage délirant intégration histoire harry potter année scolaire stress rentrée achat fourniture scolaire baguette livre replonger souvenir enfance charme épisode opter confort salle cinéma regretter séance film plaire regarder émerveiller nouveau aventure apprenti sorcier effet spécial saisissant épisode compter fois sursauter projection pourtant âge avancé film peut-être davantage pleuvoir découvrir univers particulier histoire 2ème film profondeur""spoiler:(je dire profondeur passage mener chambre secret reprocher grand chose film 2h40 trouver long film pur divertissement",mid
potter chris colombu connaître fiente noël gloire robin william petit culkin -ce devenir franchise british redonner vie warner proposer reprendre service forcément accepter surprendre lecteur cinéphile choix finalement tarte aise dorénavant monde j.k rowling cinéaste rater fois avion trouver vite tirer ingrédient emblématique livre doux parfum guimauve pop corn toucher minot grand parent réveiller enfant peur chambre secret choquer peut-être expert art dramatique jouer mal tenir prodige magie opérer poudlard laideur graphique an penser action plonger roman rappeler rêverie âge tendre insistance oublier penser traitement âme fadeur narratif montre content lire original effacer heure,mid
volet saga harry potter réaliser nouveau fois chri columbu 2002 poursuivre aventure apprenti sorcier interpréter daniel radcliff rupert grint emma watson issu imaginaire romancier britannique j. k. rowling légèrement enchanteur précédant épisode sombre terrifier bénéficier mise scène magistral doter effet spécial qualité match quiddich particulier bref enquête enfantin essayer découvrir héritier maison serpentard conner énorme succès mondial auprès public,mid
harry potter chambre secret épisode fameux franchise film convaincre grand partie public réalisateur chris colombu commande second volet tour film être gros succès rapporter 800 million dollar budget 100 million dollar opus chri colombu adopter vitesse croisière second film comporte mal similitude premier.harry potter apprêt entamer année école sorcellerie poudlard elfe maison venir voir prévenir retourner poudlard complot trame avertissement harry retourn école année troubler succession agresser élève naître parent moldus légende créateur poudlard salazar serpentard dissimuler école chambre secret cacher monstre monstre libérer héritier serpentard attaquer enfant naître parent moldus héritier serpentard nature monstre harry ami mener enquête ‘’harry potter chambre secret tour réussite raison film frappe point recette identique film bien sûr différence ensemble film profil similaire critique essaiera concentrer qualité propre harry potter chambre secret travail esthétique chri colombu manette mise scène mérite légèrement sage film privilégier montage efficace ici colombu hésiter donner mouvement plan caméra grâce effet spécial forcémer trépied mouvant adopter vol oiseau voir plan film caméra travers nuage descendre privet driv terminer course fenêtre harry contempler loisir décor stuart craig concerner photo john seal baguette remplacer chef opérateur roger pratt travailler monthy python terry gilliam réalisateur film fois lumière sexy dorure effectuer john seal pratt os teindre verdâtre moment ensemble harry potter chambre secret petit sombre harry potter école sorcier film accessible jeune public élément film noir source mystère danger mystère film prévisible deviner bien vite voldemort cherche pierre présence invisible monstre héritier inquiétante ambiance général second volet voix entendre harry araignée fuir lieu crime élément rendre effrayer monstre monstre révéler presque logiquement effrayer pointe tête fin film côté bizarrerie trouvable fourmillant univer noter présence dobby créature spécialiste auto-punition dobby inconvénient souffrir comparaison cousin germain gollum apparition seigneur anneau tour faire mois tard etats-unis gros oeil exprimer 3èm singulier dobby toby jone nettement laisser souvenir gollum préférer rajeunissement acteur interprèt mimi geignard fantôme étudiant acteur 36 an tournage film côté musiqu john william impeccable musique comporte bizarrerie venir faire extrait morceau the chase thought coruscer tirer star war attaqu clone sortir 2002 scène quidditch william il déborder point utiliser thème film bref saga connaître réelle évolution changements.pour adaptation défi sensiblement d harry potter école sorcier second livre j. k. rowling poil gros livre bien simple second film poil long film 2h 25 générique non histoire fidèlemer traduire habitude adaptation repérer petit coupe effectuer scénariste ensemble rien bien méchant steve klove retranscrire intrigu livre manière fluide retranscrire thème bouquin racisme monde sorcier introduction insulter sang bourb établissement notion sang pur sang impur héritier noble famille lâche animal compagnie juger inférieur résonner forcémer mal dévorer monde quoiqu’ harry potter chambre sorcier dernier livre poser problème adaptation.ensuite distribution étoff harry potter professeur défense contre force mal chang accueillon célèbre gilderoy lockhart rôle crétin vaniteux kenneth branagh bonnement désopiler constance personnage secondaire saga harry potter camper acteur poil surestimer différence acteur principal jeu discutable jason isaac presque choix évident incarner lucius malefoy père drago malefoy visage transpir élégant immondice changement toutefois repérable jeu acteur daniel radcliff rupert grint emma watson apprendre erreur jeune acteur beaucoup cabotin opus expression ahurir totalement surjouer voix beaucoup trop aigue presque terminer falloir honnête manquer acteur élégance naturel seoir grand acteur britannique ‘’harry potter chambre secret comporte différence harry potter école sorcier ensemble continuité film colombu mérite restituer magie monde saga réalisateur adept magie blanc film enfant metteurs-en-scène conteste adepte magie noir noirceur arriver épisode harry potter prisonnier azkaban,mid
second opus aventure petit sorcier principal domaine effet spécial bien meilleur qualité jeu acteur petit mieux point vraiment convaincant autant ambiance assombrir sensiblement conserver touche enfantin caractériser opus signer colombu surpasser aîné bon nombre point film œuvre point nouveauté inédit autant préférer école sorcier suite trouver marquant découverte univers suffire presque permettre passer absence personnalité réalisation colombu somme grand-chose vraiment mémorable épisode enfant adorer climax aujourd'hui arriver faire impasse basilic lourdaud incapable attaquer chose pif côté too much harry sauf école taire seigneur ténèbre fois an film bon facture longuet approche enfantin premier film vraiment goût chri colombu faire affaire réaliser film destiner enfant temps prendre relais apporter sang neuf saga,mid
"3,5 étoile harry potter chambre secretsfilm plaire charmer esprit enfantin féériqu humour subtil scénario bien mener bémol partie chambre secret trop artificiel décalage naturel atmosphère magique anime film mise scène bien faite effet spécial agréable surpris insérer intelligemmer décorum fantastique âge prestation rupert grint excellent contribuer fortement distiller touche humour ponctuer justesse film bref film distrayant",mid
second opus aventure petit sorcier cicatrice chri colombu pixel série percy jackson course jouet colle.l' histoire harry potter poudlard école sorcellerie second année mystérieux chambre enquêter harry ami comprendre devoir affronter nouveau danger lord voldemort.comme précédent épisode fil narratif être scrupuleusement respecter détail effet spécial omniprésent servir justesse pertinence scénario histoire temps trop choix).le prise vue qualité correct autant exceptionnelles.on voir harry grandi daniel radcliff 13ans rôle harry 12 emma watson hermione granger petit pest insupportable opus.on pantois débauche effet spécial histoire dérouler oeil intérêt film renouveler lire livre découvrir détail expliquer film finalement mérite film cas faire naître envie voir bien mission chris colombu mettre tête réaliser.pour public jeune,mid
volet marque tournant subtil notable rapport film évident orient ambiance sombre ressentir premier scène jeune acteur commencer évoluer atteindre maturité personnage film ginny entrée univers magique film attarder vraiment dommage rôle deviendra central suite.le nouveau personnage dobby gilderoy lockhart ajouter dimension humoristique intrigant tandis progressif voldemort forme humain apporter menace palpable renforcer introduction concept horcruxes.le scénario autonome préparer habilement terrain développement futur saga progression bien maîtriser cohésion narratif point fort épisode chri columbu réussir maintenir équilibre magie mystère poser base enjeux complexe venir.côté technique effet spécial nette amélioration bande sonore mêler habilement thème connaître composition inédite rythme soutenir humour demeure présent adoucir atmosphère sombre série.en résumé épisode bien amorce clairement changement saga personnage gagner profondeur intrigu prendre tournant sérieux film clé pose fondation histoire,mid
